"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASHGV40015584",-1.09668303633334,7.35743084666667,-6.07966645735833,6.55205257788621e-05,0.00134725810828325,1.70948907779522
"ASHGV40043336",-1.37869474766667,3.5630938025,-6.07960929546876,6.55260563939546e-05,0.00134725810828325,1.70940148605541
"ASHGV40022458",-1.35722264166667,4.1478225345,-6.07654367837669,6.58233939856512e-05,0.00135200497966354,1.70470322565061
"ASHGV40033390",1.09767069916667,10.23557393375,6.06882285218331,6.65786191391292e-05,0.00136476105285395,1.69286465894226
"ASHGV40011373",-1.14431499783333,3.78311617008333,-6.06807376797856,6.66523807067382e-05,0.00136581426469039,1.691715617542
"ASHGV40018301",1.30283993933333,8.575516226,6.06756247067543,6.67027775194036e-05,0.00136638814882312,1.69093127858589
"ASHGV40039144",1.99993078616667,4.80848239641667,6.06406613250342,6.70484869753316e-05,0.0013716281827632,1.6855668436082
"ASHGV40004746",-1.1439638855,3.63888732958333,-6.0634462026907,6.71099826831366e-05,0.00137226384767155,1.68461550415168
"ASHGV40050677",1.10657953966666,9.54764327116667,6.0626446611853,6.71895827736904e-05,0.00137287726978658,1.68338538418716
"ASHGV40017545",-1.274216854,3.98325306683333,-6.06013109082962,6.74398538513637e-05,0.00137640456234971,1.67952723626484
"ASHGV40034793",2.9309207305,8.00654398825,6.0598252291376,6.74703754385107e-05,0.00137656709821454,1.67905769976111
"ASHGV40057132",-1.15351259166667,3.564088081,-6.05655501497982,6.77976256612281e-05,0.0013823620370349,1.67403667854276
"ASHGV40000391",1.03107070316667,3.65811128025,6.05502257566001,6.79515570013258e-05,0.00138360888036333,1.6716832811111
"ASHGV40011351",-1.1513875195,3.66078757541667,-6.05411396541211,6.80430010025801e-05,0.00138411825149195,1.67028775337933
"ASHGV40021065",1.26233672833333,5.40904978966667,6.05260714972433,6.81949378192652e-05,0.00138532885668537,1.66797318876857
"ASHGV40031596",-1.17162254816667,4.27065519108333,-6.04999126220704,6.84595628330034e-05,0.00138977922898244,1.66395425609531
"ASHGV40018307",-1.15170583483333,3.39111519075,-6.04111224225895,6.9365940888275e-05,0.00140522633478111,1.6503057024057
